ORDERNUMBER,QUANTITYORDERED,PRICEEACH,CALCULATED_PRICE,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10425,11,43.83,482.13,6,556.8601500000001,2005-05-31,In Process,2,5,2005,Trucks and Buses,54,S32_2509,LA ROCHELLE GIFTS,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine,Small
10407,6,90.19,541.14,3,625.0167,2005-04-22,On Hold,2,4,2005,Vintage Cars,92,S18_4409,THE SHARP GIFTS WAREHOUSE,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Small
10408,15,36.93,553.95,1,639.8122500000001,2005-04-22,Shipped,2,4,2005,Vintage Cars,41,S24_3969,"TOKYO COLLECTABLES, LTD",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Small
10280,20,28.88,577.6,12,667.128,2004-08-17,Shipped,3,8,2004,Vintage Cars,33,S24_1937,AMICA MODELS & CO.,011-4988555,Via Monte Bianco 34,Torino,,10100,Italy,Accorti,Paolo,Small
10419,15,42.67,640.0500000000001,7,739.2577500000001,2005-05-17,Shipped,2,5,2005,Classic Cars,37,S24_2972,SALZBURG COLLECTABLES,6562-9555,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg,Small
10264,20,32.59,651.8000000000001,4,752.8290000000001,2004-06-30,Shipped,2,6,2004,Motorcycles,40,S32_2206,GIFTS4ALLAGES.COM,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,Yoshido,Juri,Small
10420,15,43.49,652.35,3,753.4642500000001,2005-05-29,In Process,2,5,2005,Vintage Cars,41,S24_3969,SOUVENIERS AND THINGS CO.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Small
10214,20,34.19,683.8,3,789.7890000000001,2004-01-26,Shipped,1,1,2004,Vintage Cars,33,S24_1937,"CORRIDA AUTO REPLICAS, LTD",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,Sommer,Mart¡n,Small
10304,23,30.2,694.6,16,802.2630000000001,2004-10-11,Shipped,4,10,2004,Vintage Cars,33,S24_1937,AUTO ASSOC. & CIE.,30.59.8555,"67, avenue de l'Europe",Versailles,,78000,France,Tonini,Daniel,Small
10344,20,35.18,703.6,6,812.6580000000001,2004-11-25,Shipped,4,11,2004,Vintage Cars,33,S24_1937,MARSEILLE MINI AUTOS,91.24.4555,"12, rue des Bouchers",Marseille,,13008,France,Lebihan,Laurence,Small
10110,20,35.51,710.1999999999999,3,820.2810000000001,2003-03-18,Shipped,1,3,2003,Vintage Cars,33,S24_1937,"AV STORES, CO.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Small
10135,20,35.87,717.4,1,828.5970000000001,2003-07-02,Shipped,3,7,2003,Classic Cars,37,S24_2972,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10114,24,30.06,721.4399999999999,1,833.2632000000001,2003-04-01,Shipped,2,4,2003,Classic Cars,35,S24_2840,"LA CORNE D'ABONDANCE, CO.",(1) 42.34.2555,"265, boulevard Charonne",Paris,,75012,France,Bertrand,Marie,Small
10358,20,36.42,728.4000000000001,11,841.3020000000001,2004-12-10,Shipped,4,12,2004,Trucks and Buses,122,S18_2319,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10375,21,34.91,733.1099999999999,12,846.7420500000002,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,LA ROCHELLE GIFTS,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine,Small
10193,26,29.21,759.46,10,877.1763000000002,2003-11-21,Shipped,4,11,2003,Vintage Cars,33,S24_1937,"AUSTRALIAN COLLECTABLES, LTD",61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Small
10203,21,37.0,777.0,2,897.4350000000001,2003-12-02,Shipped,4,12,2003,Classic Cars,37,S24_2972,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10409,6,100.0,600.0,2,907.4142,2005-04-23,Shipped,2,4,2005,Vintage Cars,127,S18_2325,HANDJI GIFTS& CO,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,Victorino,Wendy,Small
10281,20,40.66,813.1999999999999,2,939.2460000000002,2004-08-19,Shipped,3,8,2004,Classic Cars,35,S24_2840,DIECAST CLASSICS INC.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung,Small
10156,20,41.02,820.4000000000001,1,947.562,2003-10-08,Shipped,4,10,2003,Vintage Cars,43,S50_1341,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10356,26,31.86,828.36,7,956.7558000000001,2004-12-09,Shipped,4,12,2004,Vintage Cars,44,S24_2022,LYON SOUVENIERS,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel,Small
10367,23,36.29,834.67,13,964.0438500000001,2005-01-12,Resolved,1,1,2005,Vintage Cars,33,S24_1937,TOYS4GROWNUPS.COM,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Small
10241,21,40.25,845.25,10,976.2637500000001,2004-04-13,Shipped,2,4,2004,Classic Cars,50,S24_1628,MINI CARAVY,88.60.1555,"24, place Kluber",Strasbourg,,67000,France,Citeaux,Frederique,Small
10219,21,40.31,846.51,3,977.7190500000002,2004-02-10,Shipped,1,2,2004,Classic Cars,35,S24_2840,SIGNAL COLLECTIBLES LTD.,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA,Taylor,Sue,Small
10367,28,30.59,856.52,12,989.2806,2005-01-12,Resolved,1,1,2005,Vintage Cars,44,S24_2022,TOYS4GROWNUPS.COM,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Small
